"id_discente","matricula","ano_ingresso","periodo_ingresso","periodo_atual","sexo","idade","raça","pais","curso","nivel","modalidade","estado","polo","forma_ingresso","discente_situacao","beneficiado_auxilio","prazo_conclusao","data_colacao_grau"
"1dec39c96f225ae46f0294efb6493284"," 2020102***","2020","1","0","M","18","Parda","Brasil","CIÊNCIAS BIOLÓGICAS","G","Presencial","Ceará","","SiSU","ATIVO","f","20261",""
"1dedfbf19f6aa9c289ff6af8713328e0"," 2017210***","2017","2","6","M","27","Negra","Guiné Bissau","ADMINISTRAÇÃO PÚBLICA - SEMESTRAL","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","t","20231",""
"1df49251645bfc8285e2e2dfdd72c6e0"," 2018103***","2018","1","5","F","22","Negra","Angola","HUMANIDADES","G","Presencial","Bahia","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","t","20221",""
"1df84d1ddda67cde0891fbcee1c87a05"," 2020106***","2020","1","1","M","26","Negra","Guiné Bissau","QUIMÍCA","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","f","20261",""
"1dfabd0a325f9274146f99f302c0c271"," 2020101***","2020","1","0","M","23","Negra","Brasil","HUMANIDADES","G","Presencial","Bahia","","SiSU","ATIVO","f","20241",""
"1dffa50dac08b3d2494726141a00b345"," 2017203***","2017","2","","F","31","Parda","Brasil","GESTÃO PÚBLICA - 2017.2","L","A Distância","Ceará","Limoeiro do Norte","PROCESSO SELETIVO","ATIVO","f","",""
"1e01441ace321825261b2ec88e13d365"," 2020100***","2020","1","2","F","27","Negra","Guiné Bissau","ANTROPOLOGIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","ATIVO","f","20232",""
"1e131facc9ae5e53f2f8a498fc35189a"," 2020103***","2020","1","0","F","19","Parda","Brasil","HUMANIDADES","G","Presencial","Ceará","","SiSU","ATIVO","f","20232",""
"1e1d07ac3c8c71e847a8b1c9f7d1959a"," 2018210***","2018","2","4","F","24","Parda","Brasil","HUMANIDADES","G","Presencial","Ceará","","SISURE/REMANESCENTES","ATIVO","f","20221",""
"1e1f1c8268be92dbfcc25daa0db5e440"," 2019103***","2019","1","3","M","19","Parda","Brasil","FÍSICA","G","Presencial","Ceará","","SiSU","ATIVO","f","20242",""
"1e23aa644b0be90470eb4b3a1737407b"," 2017100***","2017","1","7","M","23","Parda","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","ATIVO","f","20222",""
"1e6b9007025634af6270b2fd3a366a3b"," 2015304***","2015","3","9","F","41","Negra","Brasil","PEDAGOGIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","FORMANDO","f","20192",""
"1e6b919d93cbd1f95b04c8020a052a54"," 2018105***","2018","1","5","F","30","Negra","Brasil","LETRAS - LÍNGUA PORTUGUESA","G","Presencial","Bahia","","TRANSFERÊNCIA VOLUNTÁRIA","ATIVO","f","20232",""
"1e74f7312fadd2bdf1cc44d7e44a7064"," 2020102***","2020","1","0","F","19","Branca","Brasil","CIÊNCIAS BIOLÓGICAS","G","Presencial","Ceará","","SiSU","ATIVO","f","20261",""
"1e7b234932cde8c868ff9945ccaaab9f"," 2017211***","2017","2","6","F","25","Parda","Brasil","PEDAGOGIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","ATIVO","t","20212",""
"1e83479d6457112d81d90064726e8ce6"," 2019101***","2019","1","5","M","27","Negra","Angola","CIÊNCIAS SOCIAIS","G","Presencial","Bahia","","REINGRESSO SEGUNDO CICLO","ATIVO","t","20231",""
"1e87eb6095177ce8d4966b9b355bd698"," 2019104***","2019","1","3","M","19","Parda","Brasil","FÍSICA","G","Presencial","Ceará","","SiSU","ATIVO","t","20242",""
"1e8a58ce67ce9e13e7c8cb02d5949fbc"," 2017110***","2017","1","7","M","30","Negra","Angola","MATEMÁTICA","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","t","20231",""
"1e8eb7d94279ab0dd36a1d3590d38708"," 2016213***","2016","2","8","M","25","Negra","Cabo Verde","ADMINISTRAÇÃO PÚBLICA - SEMESTRAL","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","t","20221",""
"1ea83eb7cc2b432d8a5c129edce78936"," 2020100***","2020","1","4","M","21","Negra","Brasil","HISTÓRIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","ATIVO","f","20232",""
"1ea986e1487ccce584ea040da0c3bb05"," 2018213***","2018","2","4","F","23","Negra","Guiné Bissau","ENFERMAGEM","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","t","20252",""
"1eaa5b3726c82a715c09a7ec72e872ca"," 2020104***","2020","1","","M","35","Parda","Brasil","ENSINO DE CIÊNCIAS  ANOS FINAIS DO ENSINO FUNDAMENTAL CIÊNCIA É DEZ"","L","A Distância","Ceará","Redenção","NAO INFORMADO","ATIVO","f","",""
"1eb21d953a99f9ca57889574ddd8f5dc"," 2016212***","2016","2","8","F","24","Negra","Guiné Bissau","ADMINISTRAÇÃO PÚBLICA - SEMESTRAL","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","t","20221",""
"1ec90c8549c2722f776d493ab1c4aea1"," 2020105***","2020","1","1","F","21","Parda","Brasil","PEDAGOGIA","G","Presencial","Ceará","","REOPCAO","ATIVO","f","20241",""
"1ed5bf6865bc67e68637274949c05000"," 2020111***","2020","1","","F","38","Parda","Brasil","GESTÃO EM SAÚDE - 2020.1","L","A Distância","Ceará","Aracati","PROCESSO SELETIVO","ATIVO","f","",""
"1ef135129c70dc0865a23d7faa2e877e"," 2014100***","2014","1","13","M","26","Parda","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","São Francisco do Conde","VESTIBULAR","ATIVO","f","20192",""
"1ef3d8d0afe406b7691fb1b4b53b43f1"," 2020106***","2020","1","1","M","20","Negra","Brasil","HUMANIDADES","G","Presencial","Bahia","","SiSU","ATIVO","f","20241",""
"1effa25932daa2e3dc76db29ac42db3f"," 2019203***","2019","2","2","M","19","Parda","Brasil","ENGENHARIA DA COMPUTAÇÃO","G","Presencial","Ceará","","SiSU","ATIVO","f","20262",""
"1f08a577e7990b0a879afd5a04788bee"," 2018105***","2018","1","5","F","26","Negra","Brasil","LETRAS - LÍNGUA PORTUGUESA","G","Presencial","Bahia","","SiSU","ATIVO","t","20232",""
"1f135e27998ec8a247e2c8d816fddd11"," 2017211***","2017","2","6","M","24","Parda","Brasil","PEDAGOGIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","ATIVO","t","20212",""
"1f18b1f66bc26bd766dae8a2b73566e7"," 2020108***","2020","1","1","M","23","Negra","Angola","LETRAS -  LÍNGUA PORTUGUESA","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","f","20251",""
"1f32c7b966af2d3a53f3aad77bc0e9bb"," 2017214***","2017","2","6","M","24","Branca","Brasil","HUMANIDADES","G","Presencial","Ceará","","SiSU","ATIVO","t","20211",""
"1f3cf061d55338f711792e7a67d691ca"," 2018103***","2018","1","5","F","22","Não declarada","Brasil","PEDAGOGIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","ATIVO","f","20221",""
"1f3edc5d083a1c179420b08fb9ad91dc"," 2015100***","2015","1","11","M","24","Parda","Brasil","ENGENHARIA DE ENERGIAS","G","Presencial","Ceará","","SiSU","ATIVO","t","20232",""
"1f472c53e63930abb8e0a4ca1cb05664"," 2020102***","2020","1","0","F","18","Parda","Brasil","CIÊNCIAS BIOLÓGICAS","G","Presencial","Ceará","","SiSU","ATIVO","f","20261",""
"1f4e74f205a125148de049f085705524"," 2018105***","2018","1","5","F","22","Parda","Brasil","LETRAS -  LÍNGUA PORTUGUESA","G","Presencial","Ceará","","SiSU","ATIVO","f","20231",""
"1f58a7eebe695348aa17cb418f287f2a"," 2016207***","2016","2","8","F","34","Negra","Brasil","PEDAGOGIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","ATIVO","t","20202",""
"1f618e5d656c9c1501f833477f01683e"," 2020108***","2020","1","1","F","19","Parda","Brasil","MATEMÁTICA","G","Presencial","Ceará","","SISURE","ATIVO","f","20261",""
"1f626100ff2a86c083d82851cb07b4e4"," 2018207***","2018","2","4","M","45","Parda","Brasil","PEDAGOGIA","G","Presencial","Bahia","","SELEÇÃO DE ALUNOS QUILOMBOLAS OU INDÍGENAS","ATIVO","f","20231",""
"1f62acba294236c4e1ef5e035fc7ed66"," 2014104***","2014","1","13","M","24","Parda","Brasil","ENGENHARIA DE ENERGIAS","G","Presencial","Ceará","","SiSU","ATIVO","f","20222",""
"1f6aeb00f2007cf3c8587c74b0c4719e"," 2018205***","2018","2","6","F","28","Negra","Guiné Bissau","HISTÓRIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","ATIVO","t","20222",""
"1f75320704e0c7e5f59445c9e25b5524"," 2018106***","2018","1","5","F","24","Parda","Brasil","HUMANIDADES","G","Presencial","Ceará","","SiSU","ATIVO","f","20212",""
"1f80040237690d13a0c5a655540f7a5e"," 2018211***","2018","2","4","F","24","Negra","Brasil","LETRAS - LÍNGUA PORTUGUESA","G","Presencial","Bahia","","SiSU","ATIVO","t","20241",""
"1f908ce700c4888192db5cd4bd029397"," 2013101***","2013","1","15","M","25","Parda","Brasil","ADMINISTRAÇÃO PÚBLICA - SEMESTRAL","G","Presencial","Ceará","","ENEM","FORMANDO","f","20182",""
"1f9989745966fd022def7c704817de2f"," 2017112***","2017","1","7","F","36","Parda","Brasil","PEDAGOGIA","G","Presencial","Ceará","","TRANSFERÊNCIA VOLUNTÁRIA","ATIVO","f","20211",""
"1fb4c31c192dcc48e32735ca52833a0a"," 2016102***","2016","1","9","M","23","Parda","Brasil","ENGENHARIA DE ENERGIAS","G","Presencial","Ceará","","SiSU","ATIVO","t","20242",""
"1fd4428c69ce0581d86bf2c05b06c411"," 2019105***","2019","1","3","M","28","Negra","Brasil","QUIMÍCA","G","Presencial","Ceará","","REOPCAO","ATIVO","f","20251",""
"1fd781e1d46ea82ec402d4eed030c781"," 2019204***","2019","2","2","F","23","Parda","Brasil","LETRAS -  LÍNGUA PORTUGUESA","G","Presencial","Ceará","","TRANSFERÊNCIA VOLUNTÁRIA","ATIVO","f","20242",""
"201a88fc324384f875f423e9c838e21f"," 2019103***","2019","1","3","F","19","Parda","Brasil","ENFERMAGEM","G","Presencial","Ceará","","SiSU","ATIVO","t","20261",""
"202eb4577c38279f499636c2191dfd25"," 2018105***","2018","1","7","M","24","Negra","Angola","CIÊNCIAS SOCIAIS","G","Presencial","Bahia","","REINGRESSO SEGUNDO CICLO","ATIVO","t","20221",""
"203dd7240bb64ebf1402a8338861b3a1"," 2017211***","2017","2","7","M","27","Parda","Brasil","HISTÓRIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","ATIVO","t","20221",""
"20446982afd98389011ea90667774f73"," 2015103***","2015","1","11","M","25","Parda","Brasil","ADMINISTRAÇÃO PÚBLICA - SEMESTRAL","G","Presencial","Ceará","","SiSU","ATIVO","t","20202",""
"2045583d71fddf099b06d04fbce08699"," 2017112***","2017","1","7","F","39","Parda","Brasil","HISTÓRIA","G","Presencial","Ceará","","PORTADOR DE DIPLOMA","ATIVO","f","20221",""
"204976686050ab510137018bcc0927cf"," 2017100***","2017","1","8","M","34","Não declarada","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","ATIVO","f","20222",""
"2058d2080eac36263076b55c1e295b6c"," 2016214***","2016","2","8","F","39","Parda","Brasil","ENFERMAGEM","G","Presencial","Ceará","","PORTADOR DE DIPLOMA","ATIVO","f","20232",""
"2060846f80d9db27e0a65544e920b245"," 2016102***","2016","1","9","F","29","Parda","Brasil","AGRONOMIA","G","Presencial","Ceará","","SiSU","ATIVO","t","20231",""
"2072303a26249a6a1e10aa41f2a9a9c6"," 2020111***","2020","1","","F","46","Parda","Brasil","GESTÃO EM SAÚDE - 2020.1","L","A Distância","Ceará","Aracati","PROCESSO SELETIVO","ATIVO","f","",""
"207ce6b62c645381d228e78ff9425670"," 2018108***","2018","1","5","F","20","Parda","Brasil","AGRONOMIA","G","Presencial","Ceará","","SiSU","ATIVO","f","20251",""
"20827afa3ec6329fffc91bc40062b410"," 2018103***","2018","1","5","M","23","Negra","Angola","HUMANIDADES","G","Presencial","Bahia","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","t","20221",""
"20874be5dff452b00b295196775551c8"," 2011200***","2011","2","14","F","26","Parda","Brasil","ENFERMAGEM","G","Presencial","Ceará","","ENEM","ATIVO","f","20201",""
"208ca84289dfad53268fd3335ac64506"," 2018101***","2018","1","5","M","26","Negra","Brasil","RELAÇÕES INTERNACIONAIS","G","Presencial","Bahia","","PORTADOR DE DIPLOMA","ATIVO","f","20221",""
"2091c98f1e3ad7a617f37d5b65652358"," 2020108***","2020","1","1","M","20","Parda","Brasil","AGRONOMIA","G","Presencial","Ceará","","SISURE","ATIVO","f","20271",""
"209e8f9e9bb7cdd0fedf26126bcd0d8c"," 2019201***","2019","2","2","F","21","Branca","Brasil","SOCIOLOGIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","ATIVO","f","20232",""
"20a86010e40a7c18818141f7c2fdf189"," 2014106***","2014","1","13","M","29","Negra","Guiné Bissau","ENGENHARIA DE ENERGIAS","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","FORMANDO","f","20222",""
"20bc07754f0c2ee729150302ac0281b8"," 2019100***","2019","1","5","M","24","Negra","Guiné Bissau","HISTÓRIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","ATIVO","t","20231",""
"20be517b1b82ef9d666502434537dc58"," 2015106***","2015","1","11","F","26","Negra","São Tomé e Príncipe","ENGENHARIA DE ENERGIAS","G","Presencial","Ceará","","REOPCAO","ATIVO","t","20232",""
"20c0f534eedd713e75288c564b1e2409"," 2019206***","2019","2","","M","39","Negra","São Tomé e Príncipe","SEGURANÇA ALIMENTAR E NUTRICIONAL","L","A Distância","São Tomé e Príncipe","São Tomé e Príncipe","VESTIBULAR","ATIVO","f","",""
"20ca8c86143171f54e42e40a039fb896"," 2015303***","2015","3","9","F","23","Parda","Brasil","ADMINISTRAÇÃO PÚBLICA - SEMESTRAL","G","Presencial","Ceará","","SiSU","FORMANDO","t","20211",""
"20cec63f962833e7ca4c9559434915ed"," 2020111***","2020","1","","F","48","Parda","Brasil","GESTÃO EM SAÚDE - 2020.1","L","A Distância","Ceará","Aracati","PROCESSO SELETIVO","ATIVO","f","",""
"20d2045edd8b7fd03a9414a3720f45e8"," 2017215***","2017","2","6","F","21","Negra","Brasil","LETRAS - LÍNGUA PORTUGUESA","G","Presencial","Bahia","","SiSU","ATIVO","f","20231",""
"20e3afa8c772f3f67ae74cb334de7300"," 2019205***","2019","2","2","M","20","Indígena","Brasil","CIÊNCIAS BIOLÓGICAS","G","Presencial","Ceará","","SELEÇÃO DE ALUNOS QUILOMBOLAS OU INDÍGENAS","ATIVO","f","20252",""
"20eb10329a11510e64e4493d17a5c7bd"," 2019106***","2019","1","3","M","43","Negra","Brasil","HUMANIDADES","G","Presencial","Bahia","","SELEÇÃO DE ALUNOS QUILOMBOLAS OU INDÍGENAS","ATIVO","f","20231",""
"20f92a6834a2aea89dc8e2ddbfb75dc8"," 2020104***","2020","1","1","M","18","Branca","Brasil","ENGENHARIA DE ENERGIAS","G","Presencial","Ceará","","SiSU","ATIVO","f","20271",""
"20fad47ef0bc75d6baa8ed05861879c7"," 2013303***","2013","3","13","M","26","Parda","Brasil","ADMINISTRAÇÃO PÚBLICA - SEMESTRAL","G","Presencial","Ceará","","ENEM","ATIVO","f","20191",""
"20fe433b04cd0bddd38e4b90a8c24bd0"," 2019107***","2019","1","3","M","23","Negra","Angola","HUMANIDADES","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","t","20222",""
"211064744f7bc660d4a550f0f5183d12"," 2019100***","2019","1","","M","46","Branca","Brasil","MESTRADO PROFISSIONAL EM MATEMÁTICA EM REDE NACIONAL","E","Semi-Presencial","Ceará","","SELECAO POS-GRADUACAO","ATIVO","f","",""
"211e3ed7f73dc8fb79aa8303f555ad48"," 2018101***","2018","1","5","F","40","Negra","Brasil","CIÊNCIAS SOCIAIS","G","Presencial","Bahia","","SELEÇÃO DE ALUNOS QUILOMBOLAS OU INDÍGENAS","ATIVO","f","20231",""
"2122ce9c0691487e83b25601389158c6"," 2015304***","2015","3","9","M","25","Negra","Moçambique","ADMINISTRAÇÃO PÚBLICA - SEMESTRAL","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","t","20211",""
"212374c79b433fa0010a14f66ed71353"," 2018208***","2018","2","4","F","24","Negra","Brasil","LETRAS - LÍNGUA PORTUGUESA","G","Presencial","Bahia","","SISURE","ATIVO","t","20241",""
"21404f0173feb910c7fe75e25ff02d8c"," 2018210***","2018","2","4","M","20","Branca","Brasil","AGRONOMIA","G","Presencial","Ceará","","SISURE/REMANESCENTES","ATIVO","t","20252",""
"2142c49342637a785b21c499962af50a"," 2020108***","2020","1","1","M","18","Parda","Brasil","MATEMÁTICA","G","Presencial","Ceará","","SISURE","ATIVO","f","20261",""
"216bb6a175e6c2b538aa25c82d039171"," 2019204***","2019","2","2","M","25","Parda","Brasil","CIÊNCIAS BIOLÓGICAS","G","Presencial","Ceará","","TRANSFERÊNCIA VOLUNTÁRIA","ATIVO","t","20252",""
"217cc9997ae444fff81c14b6b3712729"," 2019103***","2019","1","3","M","19","Parda","Brasil","ENGENHARIA DA COMPUTAÇÃO","G","Presencial","Ceará","","SiSU","ATIVO","t","20261",""
