"id_discente","discente_matricula","sexo","ano_nascimento","raca","ano_ingresso","periodo_ingresso","pais","curso","nivel","modalidade","estado","polo","forma_ingresso","programa_cota","discente_situacao","periodo_atual","data_colacao_grau"
"4e2295827733b9ea86573ec93b26eff7"," 2015200***","M","1979","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","NENHUM","ATIVO","11",""
"4fa1e87e5012977fc6fc9ba126190429"," 2017100***","M","1990","Não declarada","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","7",""
"52c1661de208d445bae96f962033f481"," 2013102***","M","1984","Branca","2013","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","","ATIVO","16",""
"52eb57f2f916c2369d08b94f13f0921f"," 2014100***","M","1986","Negra","2014","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","São Francisco do Conde","VESTIBULAR","","ATIVO","13",""
"532c2a30424b5ff7e2deb98dc5f32ebd"," 2017207***","M","1998","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"54e225a08b99e8d25da4d6988d2359da"," 2015200***","M","1979","Branca","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","NENHUM","ATIVO","11",""
"5532f71c03d949e42af000314c1381e8"," 2017208***","M","1974","Negra","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
"56a5f24dd4c246f76689ff82230a5f7a"," 2017208***","F","1987","Negra","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","6",""
"56a675190828cca367eea3fd7bedaaa4"," 2015201***","F","1983","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Limoeiro do Norte","VESTIBULAR","ESCOLA PÚBLICA","ATIVO","11",""
"5725e3cc75d4cb45539f5c3027b3de65"," 2017207***","F","1986","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"5849a37e499c790925f5f06599b806e3"," 2017206***","F","1982","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
"58ca08ec16dbb335390a1493152c818f"," 2017208***","M","1983","Negra","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"5a0c324edfe550d8d0e74f517066cf67"," 2017207***","M","1998","Negra","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"5ba45de870226fa4f8de7e7465bc9e72"," 2015201***","M","1977","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Limoeiro do Norte","VESTIBULAR","NENHUM","ATIVO","11",""
"5bd837b33627521689ab2efee4b9871d"," 2015200***","M","1988","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","L6 - autodeclarados PPI, independentemente da renda (Lei nº 12.711/2012)","ATIVO","11",""
"5d6347087b135e0c871146b3922bf998"," 2017208***","F","1975","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","6",""
"5da8a62a55e2100506c16293154a904a"," 2017207***","F","1990","Branca","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
